Title,Date,Link,Author,Views
"фотоМалюк підтвердив, що морські дрони ""Sea Baby"" оснастили РСЗВ ""Град""",18:20,/news/2024/05/23/7457310/,,
"ВРП відкрила дисциплінарну справу щодо судді, у якої знайшли громадянство РФ",18:12,/news/2024/05/23/7457308/,,
Після повномасштабного вторгнення ми вже маємо близько 150 вироків – керівник прокуратури Криму,18:05,/news/2024/05/23/7457309/,,
"Російський мільярдер Кузяєв, який забезпечує зв'язок для армії РФ, уникає санкцій ЄС та США – Trap Aggressor",18:03,https://www.epravda.com.ua/news/2024/05/23/714145/,Економічна правда,1410 переглядів
"""Було цікаво побачити"": киянину, який посеред ночі запустив феєрверк, оголосили підозру",17:58,https://life.pravda.com.ua/society/kiyaninu-yakiy-unochi-zapustiv-feyerverk-povidomili-pro-pidozru-301703/,,
В селі на Харківщині через вибух дрона постраждав 11-річний хлопчик,17:56,/news/2024/05/23/7457305/,,
Українські енергетики відновили лінію живлення ЗАЕС,17:44,https://www.epravda.com.ua/news/2024/05/23/714144/,Олексій Павлиш,2358 переглядів
"70% усіх iPhone виробляє Foxconn: історія ""бога аутсорсингу"" з Тайваню",17:36,https://www.epravda.com.ua/publications/2024/05/23/714128/,Олексій Павлиш,3944 перегляди
Строк оформлення невитребуваних паїв продовжили до 2028 року – Мінагрополітики,17:30,https://www.epravda.com.ua/news/2024/05/23/714143/,Анастасія Дячкіна,1511 переглядів
ЗМІ: США готують Україні новий пакет військової допомоги на $275 млн,17:22,/news/2024/05/23/7457296/,,
"ФДМУ визначив умови і стартову ціну приватизації ""ОГХК"". Далі рішення за Кабміном",17:20,https://www.epravda.com.ua/news/2024/05/23/714142/,Олексій Павлиш,524 перегляди
Польща посилює безпеку головного хабу військової допомоги Україні через дії РФ,17:15,https://www.eurointegration.com.ua/news/2024/05/23/7186601/,Андрій Синявський,
"""У мене є великі сумніви"": Стефанчук прокоментував економічне бронювання",17:12,https://www.epravda.com.ua/news/2024/05/23/714141/,Віктор Волокіта,4616 переглядів
Нідерланди з партнерами закуплять для України додаткову допомогу на 175 млн євро,17:10,https://www.eurointegration.com.ua/news/2024/05/23/7186602/,Марія Ємець,
"Російський ""Норнікель"" вперше в історії другий рік поспіль не виплатить дивіденди",17:05,https://www.epravda.com.ua/news/2024/05/23/714140/,Олексій Павлиш,638 переглядів
Нацбанк обмежить карткові перекази між фізособами,17:02,https://www.epravda.com.ua/news/2024/05/23/714139/,Віктор Волокіта,36307 переглядів
"Міносвіти шукає тренерів для вчителів ""Захисту України"": хто ними може стати",16:56,https://life.pravda.com.ua/society/minosviti-zapuskaye-programu-pidgotovki-treneriv-dlya-vchiteliv-zahistu-ukrajini-301700/,,
"Tesla хоче, щоб її постачальники виробляли деталі до авто за межами Китаю і Тайваню",16:45,https://mezha.media/2024/05/23/tesla-postachalnyky-vyroblialy-detali/,,
В РФ дозволили конфісковувати майно США у відповідь на вилучення росактивів,16:42,https://www.epravda.com.ua/news/2024/05/23/714138/,Артур Крижний,4435 переглядів
"СБУ затримала ексохоронця російської катівні, який намагався сховатися у лавах ЗСУ",16:40,/news/2024/05/23/7457288/,,
"Росія самовільно прибрала з естонських вод річки Нарва буї, що маркують русло",16:38,/news/2024/05/23/7457286/,,
ВООЗ встановила у Чернігівській області дві котельні на дровах,16:35,https://www.epravda.com.ua/news/2024/05/23/714137/,Віктор Волокіта,1052 перегляди
"В РФ збираються підвищити податок на прибуток, що може залучити додаткові $14,2 млрд",16:21,https://www.epravda.com.ua/news/2024/05/23/714136/,Володимир Тунік-Фриз,2066 переглядів
"оновленоОВА: Харків знову під ударами окупантів, у Дергачах – 13 поранених після прильотів",16:09,/news/2024/05/23/7457245/,,
"""Чи є інші варіанти?"" Гетманцев підтвердив, що Кабмін хоче підвищити податки",16:08,https://www.epravda.com.ua/news/2024/05/23/714135/,Олексій Павлиш,6897 переглядів
"У Києві судитимуть чоловіка, який систематично вчиняв насилля над своєю донькою на очах в онуків",16:06,https://life.pravda.com.ua/society/u-kiyevi-cholovik-sistematichno-vchinyav-nasillya-nad-dochkoyu-na-ochah-onukiv-yogo-dolyu-virishuye-sud-301698/,,
NVIDIA планує щороку випускати новий чип для штучного інтелекту,16:03,https://mezha.media/2024/05/23/nvidia-to-release-new-ai-chips-annualy/,,
"Сирський: Противник ""завʼяз"" у вуличних боях за Вовчанськ",16:01,/news/2024/05/23/7457272/,,
Мережа EVA почала інвестувати в салони краси: що відомо,16:00,https://www.epravda.com.ua/news/2024/05/23/714131/,Артур Крижний,1703 перегляди
фотоРосіяни вдарили по Золочеву на Харківщині: постраждали дві жінки,15:49,/news/2024/05/23/7457271/,,
Google почне показувати рекламу в пошуку на основі штучного інтелекту,15:49,https://mezha.media/2024/05/23/google-ads-in-ai-overview/,,
"""Роснєфть"" просить Кремль компенсувати витрати на захист НПЗ від дронів",15:45,https://www.epravda.com.ua/news/2024/05/23/714133/,Олексій Павлиш,1775 переглядів
ЗАЕС знову на межі блекауту: відключилася повітряна лінія живлення,15:24,https://www.epravda.com.ua/news/2024/05/23/714126/,Артур Крижний,4040 переглядів
"В ""Укрнафті"" на 17% зросла нафтовіддача після застосування нової технології",15:23,https://www.epravda.com.ua/news/2024/05/23/714132/,Віктор Волокіта,747 переглядів
18-річний син Кадирова після отримання посади міністра ще й очолив футбольний клуб,15:21,/news/2024/05/23/7457269/,,
Україна цьогоріч піднялася у світовому рейтингу виробників сталі,15:20,https://www.epravda.com.ua/news/2024/05/23/714130/,Економічна правда,867 переглядів
"ФОТО""Вільні обирають боротьбу"": Укрпошта випустила марку до 10-річчя ""Азову""",15:18,https://life.pravda.com.ua/society/ukrposhta-prisyatila-marku-brigadi-azov-301697/,,
Укрексімбанк відібрав нових членів правління,15:15,https://www.epravda.com.ua/news/2024/05/23/714127/,Віктор Волокіта,1811 переглядів
"відеоДрони ГУР атакують об'єкти ВПК у російському Татарстані, аеропорти припиняли роботу – джерело",15:09,/news/2024/05/23/7457264/,,
Qualcomm представила мінікомп’ютер зі Snapdragon X для розробників,15:06,https://mezha.media/2024/05/23/qualcomm-mini-pc-for-devs/,,
"Навідник ракет РФ на Яворівський полігон, колишній КДБшник отримав 15 років тюрми",15:04,/news/2024/05/23/7457262/,,
"У танкера ""тіньового флоту"" РФ відмовив двигун: блокував рух протоку Дарданелли",15:01,https://www.epravda.com.ua/news/2024/05/23/714123/,Артур Крижний,5370 переглядів
"""Археологічна сенсація"": винороб з Австрії виявив під погребом ​​рештки доісторичних мамонтів",15:00,https://life.pravda.com.ua/society/avstriyec-znayshov-kistki-mamontiv-pid-vlasnim-vinnim-lohom-301693/,,
Сирський: Ворог намагається прорвати оборону в районі Кислівки та вийти до річки Оскіл,14:52,/news/2024/05/23/7457258/,,
"""Укрспирт"" на межі банкрутства – Держаудитслужба",14:50,https://www.epravda.com.ua/news/2024/05/23/714125/,Віктор Волокіта,2318 переглядів
Більше 80% жителів ЄС згодні приймати біженців з України - опитування,14:44,/news/2024/05/23/7457255/,,
"Кулеба на тлі ударів по Харківщині: Слова не перехоплюють ракети, потрібні Patriot",14:36,https://www.eurointegration.com.ua/news/2024/05/23/7186592/,Христина Бондарєва,
Активність бізнесу в Єврозоні побила річний рекорд,14:36,https://www.epravda.com.ua/news/2024/05/23/714122/,Економічна правда,1439 переглядів
"Британська розвідка оцінила наслідки ураження Україною корабля РФ ""Циклон"" в Севастополі",14:36,/news/2024/05/23/7457257/,,
Politico: Посада єврокомісара з питань оборони у новій ЄК може дістатися Польщі,14:35,https://www.eurointegration.com.ua/news/2024/05/23/7186594/,Марія Ємець,
"Через обстріли Харківщини, поранень зазнали як мінімум 6 залізничників",14:34,https://www.epravda.com.ua/news/2024/05/23/714119/,Володимир Тунік-Фриз,832 перегляди
відеоКлименко показав наслідки ударів РФ по Харкову 23 травня,14:31,/news/2024/05/23/7457248/,,
"Що робити, якщо у ""Резерв+"" неправильні дані чи статус ""у розшуку""? Відповідь Міноборони",14:31,https://life.pravda.com.ua/society/minoboroni-vidpovidaye-na-poshireni-pitannya-pro-zastosunok-rezerv-301692/,,
Польща посилює безпеку головного вузла постачання військової допомоги України через дії РФ,14:20,https://www.epravda.com.ua/news/2024/05/23/714121/,Артур Крижний,2359 переглядів
На ремонт лікарні за 100 мільйонів претендували фігуранти кримінальних справ: торги відмінили,14:05,https://www.epravda.com.ua/news/2024/05/23/714120/,Віктор Волокіта,1564 перегляди
З'явилися фото наслідків російського удару по друкарні у Харкові,14:00,https://life.pravda.com.ua/culture/7-zagiblih-16-poranenih-foto-naslidkiv-rosiyskogo-udaru-po-drukarni-u-harkovi-301690/,,
футболФІФА хоче переглянути правила офсайду,13:45,https://champion.com.ua/ukr/football/futbol-ochikuyut-zmini-fifa-iniciyuye-pereglyad-pravil-viznachennya-ofsaydu-1001049/,,
Sharp виходить з бізнесу телевізійних дисплеїв,13:38,https://mezha.media/2024/05/23/sharp-tv-displays-the-end/,,
Німецький тарган виявився зовсім не німецьким. Вчені виявили справжнє походження прусаків,13:26,https://life.pravda.com.ua/society/vcheni-vstanovili-spravzhnye-pohodzhennya-domashnih-targaniv-301686/,,
Фонд держмайна продав завод у Чернівцях за 20 мільйонів: вдвічі дорожче від стартової ціни,13:24,https://www.epravda.com.ua/news/2024/05/23/714117/,Віктор Волокіта,3504 перегляди
"Одіозний Бардаш вирішив пригрозити СБУ: ""Доберусь до вас раніше, ніж ви до мене""",13:21,https://tabloid.pravda.com.ua/focus/yuriy-bardash-vidreaguvav-na-ogoloshennya-pidozri-vid-sbu-2004297/,Марія  Ткаченко,перегляди
"мапаЧастину України заллє дощами, але буде тепло",13:14,/news/2024/05/23/7457235/,,
Україна у 2023 році стала другим постачальником меду до ЄС,13:12,https://www.epravda.com.ua/news/2024/05/23/714116/,Артур Крижний,3552 перегляди
"Зеленський про нову атаку на Харків: В України недостатньо ППО, і це – слабкість світу",13:06,/news/2024/05/23/7457231/,,
"Після придбання облігацій на 1 трильйон в уряді нагадали, як їх купити в Дії",13:05,https://www.epravda.com.ua/news/2024/05/23/714114/,Віктор Волокіта,1428 переглядів
Рада призначила суддею Конституційного суду проректора ЛНУ,13:04,/news/2024/05/23/7457230/,,
За 5 років імпорт зброї Україною зріс на понад 6 тисяч відсотків - СтратКом ЗСУ,13:00,https://www.epravda.com.ua/news/2024/05/23/714113/,Артур Крижний,824 перегляди
"ГУР проаналізувало ситуацію на Харківщині та Сумщині: Те, що відбувається, – не наступ на Харків",12:56,/news/2024/05/23/7457229/,,
Путін вирушив до Білорусі на зустріч з Лукашенком,12:30,/news/2024/05/23/7457226/,,
"оновлено, фотоРосіяни вдарили по Харкову: 7 загиблих і 20 поранених, влучили у друкарню",12:30,/news/2024/05/23/7457210/,,
Росіяни вдарили по друкарні видавництва Vivat у Харкові,12:29,https://life.pravda.com.ua/culture/rosiyani-vdarili-po-drukarni-vidavnictva-vivat-u-harkovi-301687/,,
"Вітроенергетичний стартап AirLoom, в який інвестував Гейтс, додатково профінансують на $12 млн",12:26,https://mezha.media/2024/05/23/airloom-foundation-12-mln/,,
"""Ховається, як граф Дракула"": ГУР знає, де бункери Путіна",12:20,/news/2024/05/23/7457221/,,
Nvidia прогнозує рекордні 28 мільярдів доларів виторгу у другому кварталі,12:19,https://www.epravda.com.ua/news/2024/05/23/714112/,Ігор Пилипів,930 переглядів
Лукашенко змінив начальника Генерального штабу Збройних сил Білорусі,12:19,/news/2024/05/23/7457220/,,
"Голова Нацкомісії з цінних паперів Магомедов зацікавлений в ліквідації ""Вересу"" - заява клубу",12:16,https://www.epravda.com.ua/news/2024/05/23/714109/,Артур Крижний,2661 перегляд
"""Саакашвілі проти Грузії"": колишній президент програв справу в ЄСПЛ",12:14,/news/2024/05/23/7457219/,,
"Суд виправдав загиблого ""кіборга"" Красняна у справі про хуліганство та незаконне поводження зі зброєю",12:08,/news/2024/05/23/7457218/,,
"Обшук у працівника НАБУ: Бюро каже, що саме впорається із розслідуванням",12:04,/news/2024/05/23/7457216/,,
Українці надають перевагу бензиновим авто та електрокарам віком до 5 років: попереду TESLA,11:55,https://www.epravda.com.ua/news/2024/05/23/714110/,Віктор Волокіта,2030 переглядів
"Три країни виступають проти санкцій ЄС щодо ""тіньового флоту"" Росії - FT",11:40,/news/2024/05/23/7457213/,,
ВІДЕОУкраїнські полярники показали відео зустрічі з групою горбатих китів і косаток,11:30,https://life.pravda.com.ua/society/kiti-y-kosatki-otochili-choven-ukrajinskih-polyarnikiv-301684/,,
Суд звільнив перших двох ув’язнених для участі у війні,11:21,/news/2024/05/23/7457209/,,
Південна Корея виділить 19 мільярдів доларів на підтримку своїх виробників мікросхем,11:20,https://www.epravda.com.ua/news/2024/05/23/714107/,Артур Крижний,788 переглядів
МЗС Польщі про прохання України збивати ракети РФ: це питання для дискусії,11:19,/news/2024/05/23/7457208/,,
"Для прориву російських ДРГ до Харкова: СБУ викрила агента РФ, який вербував в’язнів",11:08,/news/2024/05/23/7457207/,,
OpenAI не копіювала голос Скарлетт Йоганссон для ChatGPT - документи,11:06,https://mezha.media/2024/05/23/openai-skarlett-yohansson-chatgpt/,,
У Росії арештували чергового топгенерала,11:05,/news/2024/05/23/7457205/,,
"Прикордонники не враховують додаток ""Резерв+"" при перетині кордону",11:03,/news/2024/05/23/7457201/,,
Бюджету бракує грошей на оборону: уряд працює над підвищенням податків,10:59,https://www.epravda.com.ua/news/2024/05/23/714100/,Артур Крижний,31386 переглядів
"БоксБогачук: Не очікував, що Берінчику віддадуть перемогу в бою з Наваррете",10:50,https://champion.com.ua/ukr/boxing/bogachuk-pro-biy-berinchika-ta-navarrete-ne-ochikuvav-shcho-peremogu-viddadut-denisu-1001029/,,
Ціни на нафту падають четвертий день поспіль через побоювання щодо попиту,10:40,https://www.epravda.com.ua/news/2024/05/23/714104/,,1242 перегляди
"ЄС: Грузія має відкликати закон про ""іноагентів"" відповідно до вказівок ""Венеційки""",10:30,https://www.eurointegration.com.ua/news/2024/05/23/7186573/,Христина Бондарєва,
Ситуація на кордоні з РФ залишається непростою: прикордонники уточнили дані по Сумщині,10:27,/news/2024/05/23/7457195/,,
"На Донеччині через обстріли зупинялася шахта, під землею залишалися 160 працівників",10:25,https://www.epravda.com.ua/news/2024/05/23/714105/,Віктор Волокіта,1450 переглядів
"ІнфографікаШколи, дороги, підготовка до зими: чи продовжує місцева влада ""закопувати гроші в асфальт""",10:22,https://www.epravda.com.ua/weeklycharts/2024/05/23/714089/,"Економічна правда, ПРОЄКТ WEEKLY CHART",4799 переглядів
У Білому домі поки не підтверджують приїзд Байдена на Саміт миру,10:07,https://www.eurointegration.com.ua/news/2024/05/23/7186564/,Христина Бондарєва,
Росію та Білорусь хочуть виключити з Європейської торгової палати,10:06,https://www.epravda.com.ua/news/2024/05/23/714103/,Ігор Пилипів,996 переглядів
FT: ЄС планує закрити білоруський шлях ввезення розкішних авто до Росії,10:05,https://www.eurointegration.com.ua/news/2024/05/23/7186572/,Христина Бондарєва,
Делегація МВФ прибула до Києва,10:03,https://www.epravda.com.ua/news/2024/05/23/714101/,Ігор Пилипів,2051 перегляд
Що провокує появу психічних розладів? Вчені знайшли ще одну відповідь – у ДНК,10:03,https://life.pravda.com.ua/health/psihichni-rozladi-mozhut-vinikati-cherez-davni-virusi-u-fragmentah-dnk-301680/,,
ЄБА закликає надати компаніям можливість самостійно відбирати критично важливих співробітників,10:00,https://www.epravda.com.ua/news/2024/05/23/714102/,Віктор Волокіта,2745 переглядів
Норвегія забороняє в'їзд для туристів з Росії,09:43,/news/2024/05/23/7457191/,,
відеоУкраїна відзначає День Героїв: Буданов оприлюднив звернення,09:33,/news/2024/05/23/7457190/,,
OpenAI використовуватиме контент News Corp для вдосконалення своїх ШІ-моделей,09:24,https://www.epravda.com.ua/news/2024/05/23/714097/,Ігор Пилипів,863 перегляди
"бліц-інтерв'юБогачук про поєдинок Усика проти Ф’юрі: Якби рефері зупинив бій, були б претензії",09:07,https://champion.com.ua/ukr/boxing/bogachuk-vvazhaye-shcho-referi-boyu-usik-f-yuri-diyav-pravilno-koli-vidrahuvav-taysonu-nokdaun-1001025/,,
Блінкен виступає за дозвіл Україні бити по цілях в РФ американською зброєю − NYT,08:59,/news/2024/05/23/7457187/,,
"Позивний ""Шеф"". Як військовий Дмитро Бігас випікає хліб між штурмами під Бахмутом",08:57,https://www.pravda.com.ua/articles/2024/05/23/7457134/,,
Китай розпочав військові навчання навколо Тайваню,08:40,/news/2024/05/23/7457182/,,
Німеччина поки що не стане визнавати Палестину,08:38,https://www.eurointegration.com.ua/news/2024/05/23/7186560/,Іванна Костіна,
"Країни Балтії вимагатимуть на саміті НАТО мінімального порогу оборонного бюджету в 2,5%",08:00,https://www.eurointegration.com.ua/news/2024/05/23/7186559/,Іванна Костіна,
"ЗСУ відмінусували 1 330 окупантів, літак і 40 артсистем за добу",07:48,/news/2024/05/23/7457179/,,
Зеленський планує візит до Франції: проситиме НАТО збивати російські ракети над Україною − Politico,07:30,/news/2024/05/23/7457178/,,
"Росія просуває систему ""співвітчизники"" для подальшої агресії та гібридних операцій – ISW",06:38,/news/2024/05/23/7457176/,,
"Блінкен у Конгресі: США не підтримують ударів по РФ західною зброєю, але вирішує Україна",05:44,/news/2024/05/23/7457174/,,
DeepState: Росіяни просунулися біля Часового Яру,04:50,/news/2024/05/23/7457175/,,
"WBC нагородило організатора бою Усик-Ф'юрі перснем, який виготовив український ювелір",04:26,https://champion.com.ua/ukr/boxing/ukrajinskiy-yuvelir-v-yacheslav-bulkovskiy-zrobiv-persten-dlya-organizatora-boyu-usik-f-yuri-1000963/,,
"Колишня суперниця Трампа Гейлі заявила, що підтримає його на виборах",04:00,/news/2024/05/23/7457173/,,
У Поволжі РФ будують фільтраційні табори для українців – спротив,03:24,/news/2024/05/23/7457172/,,
Усик зніметься в одному фільмі з Двейном Джонсоном,02:56,https://champion.com.ua/ukr/boxing/usik-znimetsya-u-biografichnomu-filmi-pro-ukrajinskogo-biycya-mma-1001030/,,
"Росіяни атакували Сумщину FPV-дронами, скидали міни – 139 вибухів за день",01:58,/news/2024/05/23/7457169/,,
оновленоОкупанти перекривали Кримський міст,01:36,/news/2024/05/23/7457168/,,
Фанати Ф'юрі крали в журналістів бейджики перед боєм з Усиком,01:24,https://champion.com.ua/ukr/boxing/fanati-taysona-f-yuri-krali-v-zhurnalistiv-beydzhiki-pered-poyedinok-z-oleksandrom-usikom-1000960/,,
У 10 навчальних закладах Вінниці будують протирадіаційні укриття – мер,00:58,/news/2024/05/23/7457167/,,
оновленоПо всій Україні оголошували повітряну тривогу через зліт російського МіГ-31К,00:30,/news/2024/05/23/7457159/,,
Франція здійснила успішне випробування модернізованого ядерного носія,00:00,https://www.eurointegration.com.ua/news/2024/05/22/7186551/,Олег Павлюк,
"футбол""Аталанта"" розгромила непереможний ""Баєр"" та виграла Лігу Європи",23:57,https://champion.com.ua/ukr/football/kinec-seriji-atalanta-rozgromila-neperemozhniy-bayer-ta-vigrala-lye-1001027/,,
На Дніпропетровщині Сили оборони знищили російську керовану ракету,23:56,/news/2024/05/22/7457155/,,
"Ексміністр оборони Британії розповів про системні проблеми МЗС, зокрема у допомозі Україні",23:46,/news/2024/05/22/7457153/,,
СПЕЦПРОЄКТЗелений перехід: коли українці пересядуть на електромобілі,,https://www.epravda.com.ua/cdn/cd1/2024/peresiadut_na_elektromobili/,,
"""Вивезти з окупації іноді складніше, ніж з території Росії"": як повертають українських дітей",23:43,https://life.pravda.com.ua/society/yakshcho-ditina-ne-bula-v-rosiji-to-vona-nedostatno-postrazhdala-chomu-tak-skladno-povertati-ditey-z-okupaciji-301622/,,
"Новини економіки 22 травня: графіки відключень світла, українці придбали облігацій на 1 трильйон",23:39,https://www.epravda.com.ua/news/2024/05/22/714096/,Економічна правда,1466 переглядів
"Білий дім заявив, що не має інформації про можливі факти постачання зброї до Росії з Китаю",23:34,/news/2024/05/22/7457151/,,
Генштаб: Сили оборони збили ворожий штурмовик Су-25 на Покровському напрямку,23:18,/news/2024/05/22/7457150/,,
"фотоБез ""радянського присмаку"": МОН показало, як виглядатимуть відбудовані українські школи",23:00,https://life.pravda.com.ua/society/yak-viglyadatimut-shkoli-maybutnogo-mincifra-pokazala-vizualizaciji-301682/,,
United24 і Lego Creators присвятили українським пам’яткам нові конструктори,22:57,https://www.epravda.com.ua/news/2024/05/22/714095/,Анастасія Дячкіна,3622 перегляди
"Міноборони: 805 тисяч громадян оновили дані в застосунку ""Резерв+""",22:44,/news/2024/05/22/7457147/,,
ЗМІ: Посли ЄС схвалили нові санкції проти причетних до смерті Навального,22:24,/news/2024/05/22/7457145/,,
футболФінал Ліги Європи. Аталанта - Баєр. ОНЛАЙН,22:00,https://champion.com.ua/ukr/football/atalanta-bayer-onlayn-translyaciya-finalu-ligi-yevropi-uyefa-1000864/,,
Рада ухвалила за основу законопроєкт про хміль і хмелепродукти,21:59,https://www.epravda.com.ua/news/2024/05/22/714093/,Анастасія Дячкіна,4510 переглядів
відеоУ ТЦК відреагували на конфлікт між військовими та цивільними у Харкові,21:54,/news/2024/05/22/7457143/,,
боксКоманда Усика проситиме IBF зробити виняток заради реваншу з Ф’юрі,21:21,https://champion.com.ua/ukr/boxing/komanda-usika-bude-prositi-ibf-zrobiti-vinyatok-ta-zalishiti-oleksandra-absolyutnim-chempionom-svitu-1001020/,,
Франція підтримує план США використати доходи від заморожених активів РФ на користь України,21:20,https://www.epravda.com.ua/news/2024/05/22/714094/,Олексій Павлиш,1113 переглядів
Воєнні злочини РФ: ідентифіковано 357 військових РФ та колаборантів – Костін,21:18,/news/2024/05/22/7457140/,,
В електронних квитках військовозобов'язаних з'явиться QR-код: що це і навіщо потрібно,20:54,https://life.pravda.com.ua/society/shtrih-kod-u-viyskovomu-kvitku-shcho-ce-i-navishcho-vin-potriben-301681/?fbclid=IwAR0eHXiQ6hZ0d0BWOtQ_UJfFB-hoYKF5uzGkQqtFozPOpDd2Ep8T1ojzRAs,,
Інфляція у Британії впала до найнижчого рівня майже за три роки,20:52,https://www.epravda.com.ua/news/2024/05/22/714092/,Олексій Павлиш,2790 переглядів
Зеленський провів спецнараду на базі РНБО та Ставки,20:43,/news/2024/05/22/7457133/,,
Генштаб: На Куп’янському напрямку відбулась найбільша кількість зіткнень,20:39,/news/2024/05/22/7457132/,,
Розвідка Британії розповіла про зростання економіки України завдяки експорту Чорним морем,20:37,https://www.eurointegration.com.ua/news/2024/05/22/7186543/,Андрій Синявський,
Вчені знайшли зв'язок між нічними кошмарами і аутоімунними захворюваннями,20:30,https://life.pravda.com.ua/health/nichni-koshmari-mozhut-mati-zv-yazok-z-autoimunnim-zahvoryuvannyami-vcheni-301679/,,
"У ""Дії"" тимчасово не працюватимуть перереєстрація авто і обмін посвідчення водія",20:29,https://www.epravda.com.ua/news/2024/05/22/714091/,Олексій Павлиш,6108 переглядів
оновленоПовітряні сили повідомили про два російські МіГ-31К в повітрі,20:14,/news/2024/05/22/7457129/,,
Сунак оголосив дострокові парламентські вибори в Британії 4 липня,19:53,/news/2024/05/22/7457126/,,
"Кількість резидентів у ""Дія.City"" досягла однієї тисячі компаній",19:52,https://www.epravda.com.ua/news/2024/05/22/714086/,Анастасія Дячкіна,1491 перегляд
"Австрія, Албанія та Чилі візьмуть участь у Глобальному саміті миру",19:50,/news/2024/05/22/7457124/,,
оновленоВ Україні оголошували масштабну тривогу через загрозу балістики,19:45,/news/2024/05/22/7457123/,,
23 травня графіки відключення світла діятимуть по всій Україні протягом доби,19:30,https://www.epravda.com.ua/news/2024/05/22/714090/,Анастасія Дячкіна,68736 переглядів
Схожі на офіси Google чи Netflix: в Україні по-новому планують відбудувати 5 шкіл,19:21,https://www.epravda.com.ua/news/2024/05/22/714085/,Віктор Волокіта,2886 переглядів
Спікер нижньої палати Конгресу США підтримує дозвіл Україні бити американською зброєю по РФ,19:11,/news/2024/05/22/7457116/,,
Екологічні організації виступили проти добудови Хмельницької АЕС: які їхні аргументи,18:52,https://www.epravda.com.ua/news/2024/05/22/714084/,Олексій Павлиш,8011 переглядів
"Пашинян заявив, що щонайменш двоє ""союзників"" в ОДКБ допомогли готувати війну проти Вірменії",18:50,https://www.eurointegration.com.ua/news/2024/05/22/7186534/,Марія Ємець,
У Сенаті США закликають дозволити Україні бити по цілях на території РФ у межах оборони,18:49,/news/2024/05/22/7457112/,,
"відеоДесантники показали, як знищили групу російської піхоти у Вовчанську",18:40,/news/2024/05/22/7457111/,,
